,ID,ESTADO,FECHA_INSTALACION,MODELO,ACCESIBLE,TIPO,MANTENIMIENTOS,ULTIMA_FECHA_MANTENIMIENTO,INCIDENCIAS,DESGASTE_ACUMULADO,INDICADOR_EXPOSICION,NOMBRE,AreaID
0,9536972,OPERATIVO,31-01-2024,,True,DEPORTIVO,[],31-01-2024,[],0,Alto,JUEGO-9536972,5132777
1,9536966,OPERATIVO,31-01-2024,,True,DEPORTIVO,[2729],23-03-2024,[],1,Alto,JUEGO-9536966,9536964
2,9536965,OPERATIVO,31-01-2024,,True,DEPORTIVO,[14981],07-06-2024,"[[10497, 'Mal funcionamiento', '05-03-2024', 'Cerrada']]",1,Medio,JUEGO-9536965,9536964
3,9535131,OPERATIVO,15-09-2023,,True,DEPORTIVO,[7980],27-10-2023,[],1,Alto,JUEGO-9535131,8780154
4,9535128,OPERATIVO,01-01-1996,,True,DEPORTIVO,[6493],05-02-2024,"[[6027, 'Vandalismo', '09-08-2024', 'Cerrada'], [7921, 'Desgaste', '30-11-2023', 'Cerrada'], [9039, 'Desgaste', '15-04-2024', 'Abierta'], [11138, 'Desgaste', '10-07-2024', 'Cerrada'], [14326, 'Vandalismo', '11-08-2024', 'Cerrada'], [15203, 'Vandalismo', '05-10-2024', 'Cerrada'], [16652, 'Mal funcionamiento', '09-08-2024', 'Abierta']]",1,Bajo,JUEGO-9535128,8780154
5,9535127,OPERATIVO,15-09-2023,,True,DEPORTIVO,[13259],20-11-2023,[],1,Bajo,JUEGO-9535127,9503906
6,9494201,OPERATIVO,01-01-1996,,True,DEPORTIVO,[8003],26-05-2024,"[[12402, 'Desgaste', '19-07-2024', 'Cerrada'], [13512, 'Mal funcionamiento', '17-07-2024', 'Cerrada'], [16935, 'Mal funcionamiento', '06-05-2024', 'Cerrada']]",1,Bajo,JUEGO-9494201,16715
7,9493030,OPERATIVO,01-01-1996,,True,DEPORTIVO,"[145, 4455, 4883, 6966]",25-09-2024,"[[17203, 'Rotura', '27-02-2024', 'Cerrada'], [17203, 'Rotura', '27-02-2024', 'Cerrada'], [17203, 'Rotura', '27-02-2024', 'Cerrada'], [17203, 'Rotura', '27-02-2024', 'Cerrada']]",4,Medio,JUEGO-9493030,9492997
8,9493021,OPERATIVO,07-03-2024,,True,DEPORTIVO,[],07-03-2024,[],0,Medio,JUEGO-9493021,16899
9,9492867,OPERATIVO,04-04-2024,,True,DEPORTIVO,[],04-04-2024,[],0,Medio,JUEGO-9492867,5175231
10,9492624,OPERATIVO,14-02-2024,,True,DEPORTIVO,"[7091, 11718]",14-02-2024,"[[434, 'Desgaste', '28-02-2024', 'Cerrada'], [4351, 'Mal funcionamiento', '07-11-2023', 'Cerrada'], [6534, 'Mal funcionamiento', '28-12-2023', 'Cerrada'], [8569, 'Desgaste', '11-12-2023', 'Cerrada'], [8612, 'Desgaste', '18-12-2023', 'Abierta'], [434, 'Desgaste', '28-02-2024', 'Cerrada'], [4351, 'Mal funcionamiento', '07-11-2023', 'Cerrada'], [6534, 'Mal funcionamiento', '28-12-2023', 'Cerrada'], [8569, 'Desgaste', '11-12-2023', 'Cerrada'], [8612, 'Desgaste', '18-12-2023', 'Abierta']]",2,Bajo,JUEGO-9492624,17571
11,9438562,OPERATIVO,26-03-2024,,True,DEPORTIVO,[],26-03-2024,[],0,Bajo,JUEGO-9438562,17605
12,9438560,OPERATIVO,26-03-2024,,True,DEPORTIVO,[],26-03-2024,[],0,Alto,JUEGO-9438560,9438374
13,9438380,OPERATIVO,01-01-1996,,True,DEPORTIVO,[],01-01-1996,[],0,Bajo,JUEGO-9438380,17042
14,9438367,OPERATIVO,26-03-2024,,True,DEPORTIVO,[],26-03-2024,[],0,Alto,JUEGO-9438367,18206
15,9438316,OPERATIVO,26-03-2024,,True,DEPORTIVO,[],26-03-2024,[],0,Medio,JUEGO-9438316,8941726
16,9407936,OPERATIVO,01-08-2023,,True,DEPORTIVO,[],01-08-2023,[],0,Medio,JUEGO-9407936,17136
17,9407914,OPERATIVO,01-08-2023,,True,DEPORTIVO,"[4151, 4201]",05-10-2024,"[[4380, 'Rotura', '24-10-2023', 'Abierta'], [13690, 'Vandalismo', '17-09-2024', 'Abierta'], [14766, 'Vandalismo', '19-06-2024', 'Cerrada']]",2,Medio,JUEGO-9407914,17136
18,9407910,OPERATIVO,01-08-2023,,True,DEPORTIVO,[],01-08-2023,[],0,Bajo,JUEGO-9407910,17309
19,9407821,OPERATIVO,01-01-1996,,True,DEPORTIVO,[7748],07-02-2024,[],1,Medio,JUEGO-9407821,17361
20,9407759,OPERATIVO,08-01-2023,,True,DEPORTIVO,"[5616, 5650, 9667]",24-04-2024,"[[9491, 'Desgaste', '29-02-2024', 'Cerrada'], [14237, 'Mal funcionamiento', '19-04-2024', 'Abierta'], [9491, 'Desgaste', '29-02-2024', 'Cerrada'], [14237, 'Mal funcionamiento', '19-04-2024', 'Abierta']]",3,Alto,JUEGO-9407759,5246183
21,9407627,OPERATIVO,01-08-2023,,True,DEPORTIVO,"[6171, 6269]",12-05-2024,"[[277, 'Rotura', '12-04-2023', 'Abierta'], [2942, 'Mal funcionamiento', '20-07-2024', 'Abierta'], [6527, 'Desgaste', '29-12-2023', 'Abierta'], [9688, 'Desgaste', '07-11-2023', 'Abierta'], [12741, 'Rotura', '17-12-2023', 'Cerrada'], [14958, 'Desgaste', '25-12-2023', 'Abierta'], [15745, 'Mal funcionamiento', '19-07-2024', 'Abierta']]",2,Alto,JUEGO-9407627,17400
22,9398114,OPERATIVO,01-01-1996,,True,DEPORTIVO,[],01-01-1996,[],0,Alto,JUEGO-9398114,17359
23,9397138,OPERATIVO,28-11-2023,,True,DEPORTIVO,[8324],29-05-2024,"[[5532, 'Rotura', '22-07-2024', 'Cerrada'], [12050, 'Mal funcionamiento', '01-03-2024', 'Abierta']]",1,Alto,JUEGO-9397138,9397076
24,9397137,OPERATIVO,28-11-2023,,True,DEPORTIVO,[12486],17-01-2024,"[[7991, 'Vandalismo', '11-08-2024', 'Cerrada'], [12011, 'Vandalismo', '03-11-2023', 'Abierta']]",1,Bajo,JUEGO-9397137,9397076
25,9397134,OPERATIVO,28-11-2023,,True,DEPORTIVO,[],28-11-2023,[],0,Medio,JUEGO-9397134,7247843
26,9397131,OPERATIVO,28-11-2023,,True,DEPORTIVO,[13250],12-04-2024,"[[6404, 'Mal funcionamiento', '30-11-2023', 'Abierta'], [12941, 'Rotura', '17-10-2023', 'Abierta'], [15609, 'Mal funcionamiento', '01-08-2024', 'Abierta']]",1,Bajo,JUEGO-9397131,4986142
27,9397078,OPERATIVO,28-11-2023,,True,DEPORTIVO,"[1760, 3246, 13433]",06-09-2024,[],3,Bajo,JUEGO-9397078,9397076
28,9397071,OPERATIVO,28-11-2023,,True,DEPORTIVO,"[3135, 7825, 13800]",03-09-2024,"[[13761, 'Vandalismo', '11-10-2024', 'Abierta'], [16432, 'Mal funcionamiento', '21-01-2024', 'Abierta']]",3,Bajo,JUEGO-9397071,17104
29,9397070,OPERATIVO,28-11-2023,,True,DEPORTIVO,[2257],27-08-2024,[],1,Bajo,JUEGO-9397070,9397047
30,9396700,OPERATIVO,01-01-1996,,True,DEPORTIVO,"[1832, 9947, 13151]",17-05-2024,"[[2241, 'Rotura', '13-04-2024', 'Abierta'], [16763, 'Mal funcionamiento', '10-01-2024', 'Cerrada'], [2241, 'Rotura', '13-04-2024', 'Abierta'], [16763, 'Mal funcionamiento', '10-01-2024', 'Cerrada'], [2241, 'Rotura', '13-04-2024', 'Abierta'], [16763, 'Mal funcionamiento', '10-01-2024', 'Cerrada']]",3,Alto,JUEGO-9396700,17945
31,9396660,OPERATIVO,15-09-2023,,True,DEPORTIVO,"[5658, 7984]",03-08-2024,"[[1203, 'Desgaste', '04-02-2024', 'Abierta'], [2006, 'Desgaste', '23-01-2024', 'Cerrada'], [9776, 'Vandalismo', '20-09-2024', 'Abierta'], [12216, 'Vandalismo', '24-10-2023', 'Abierta'], [13030, 'Vandalismo', '14-09-2024', 'Cerrada'], [13508, 'Mal funcionamiento', '07-04-2024', 'Cerrada'], [14392, 'Desgaste', '04-09-2024', 'Cerrada'], [16666, 'Vandalismo', '17-11-2023', 'Abierta']]",2,Medio,JUEGO-9396660,17945
32,9393810,OPERATIVO,11-03-2023,,True,DEPORTIVO,[4526],28-05-2024,"[[7850, 'Vandalismo', '29-03-2024', 'Cerrada']]",1,Alto,JUEGO-9393810,18595
33,9392926,OPERATIVO,11-03-2023,,True,DEPORTIVO,"[7766, 12033]",14-09-2024,"[[3489, 'Vandalismo', '12-04-2024', 'Cerrada'], [8773, 'Vandalismo', '23-05-2024', 'Abierta'], [12746, 'Rotura', '29-02-2024', 'Abierta']]",2,Alto,JUEGO-9392926,18570
34,9392924,OPERATIVO,03-11-2023,,True,DEPORTIVO,[8076],03-11-2023,"[[2458, 'Desgaste', '10-09-2024', 'Cerrada'], [4688, 'Rotura', '22-08-2024', 'Abierta'], [7522, 'Rotura', '08-11-2023', 'Cerrada'], [8386, 'Rotura', '11-08-2024', 'Cerrada'], [14390, 'Mal funcionamiento', '02-06-2024', 'Abierta']]",1,Medio,JUEGO-9392924,18570
35,9392921,OPERATIVO,03-11-2023,,True,DEPORTIVO,[10613],09-01-2024,[],1,Medio,JUEGO-9392921,18570
36,9392500,OPERATIVO,18-12-2023,,True,DEPORTIVO,[],18-12-2023,[],0,Medio,JUEGO-9392500,17138
37,9392487,OPERATIVO,18-12-2023,,True,DEPORTIVO,[1547],29-02-2024,[],1,Alto,JUEGO-9392487,17590
38,9392199,OPERATIVO,18-12-2023,,True,DEPORTIVO,[4862],18-12-2023,"[[380, 'Mal funcionamiento', '18-12-2023', 'Cerrada'], [7597, 'Mal funcionamiento', '01-09-2024', 'Abierta'], [12274, 'Desgaste', '05-11-2023', 'Cerrada']]",1,Alto,JUEGO-9392199,17138
39,9389731,OPERATIVO,09-08-2023,,True,DEPORTIVO,"[1187, 4117]",09-06-2024,[],2,Bajo,JUEGO-9389731,5213826
40,9389678,OPERATIVO,08-09-2023,,True,DEPORTIVO,"[60, 1615, 10925, 13011]",04-12-2024,"[[157, 'Rotura', '27-11-2023', 'Abierta'], [8835, 'Mal funcionamiento', '09-05-2024', 'Cerrada'], [9095, 'Rotura', '24-10-2023', 'Abierta'], [15000, 'Vandalismo', '14-05-2024', 'Abierta'], [15749, 'Desgaste', '24-07-2024', 'Cerrada'], [157, 'Rotura', '27-11-2023', 'Abierta'], [8835, 'Mal funcionamiento', '09-05-2024', 'Cerrada'], [9095, 'Rotura', '24-10-2023', 'Abierta'], [15000, 'Vandalismo', '14-05-2024', 'Abierta'], [15749, 'Desgaste', '24-07-2024', 'Cerrada']]",4,Medio,JUEGO-9389678,9348753
41,9389675,OPERATIVO,09-08-2023,,True,DEPORTIVO,[],09-08-2023,[],0,Medio,JUEGO-9389675,9348753
42,9389622,OPERATIVO,08-09-2023,,True,DEPORTIVO,"[804, 3532]",27-06-2024,"[[5134, 'Vandalismo', '26-12-2023', 'Abierta'], [11699, 'Desgaste', '05-06-2024', 'Cerrada'], [13414, 'Desgaste', '01-03-2024', 'Abierta'], [16146, 'Mal funcionamiento', '03-08-2024', 'Abierta']]",2,Alto,JUEGO-9389622,9348753
43,9383249,OPERATIVO,28-11-2022,,True,DEPORTIVO,[12673],08-11-2023,"[[2970, 'Desgaste', '27-05-2024', 'Abierta'], [9029, 'Mal funcionamiento', '13-04-2024', 'Cerrada']]",1,Alto,JUEGO-9383249,5213826
