ID,FECHA_INTERVENCION,TIPO_INTERVENCION,ESTADO_PREVIO,ESTADO_POSTERIOR,JuegoID,Comentarios
1,05-08-2024,Correctivo,Malo,Malo,9394146,Comentario sobre el mantenimiento 1
2,30-03-2024,Correctivo,Regular,Regular,9224036,Comentario sobre el mantenimiento 2
3,17-09-2024,Emergencia,Bueno,Bueno,3849642,Comentario sobre el mantenimiento 3
4,11-01-2023,Emergencia,Regular,Bueno,59177,Comentario sobre el mantenimiento 4
5,04-02-2024,Emergencia,Bueno,Malo,21957,Comentario sobre el mantenimiento 5
6,03-06-2024,Preventivo,Regular,Regular,34208,Comentario sobre el mantenimiento 6
7,22-10-2023,Preventivo,Bueno,Regular,8803674,Comentario sobre el mantenimiento 7
8,29-01-2024,Correctivo,Bueno,Regular,3576475,Comentario sobre el mantenimiento 8
9,01-07-2024,Correctivo,Malo,Regular,5158890,Comentario sobre el mantenimiento 9
10,20-02-2024,Emergencia,Regular,Bueno,4988207,Comentario sobre el mantenimiento 10
11,04-09-2024,Correctivo,Regular,Bueno,9223682,Comentario sobre el mantenimiento 11
12,08-02-2024,Preventivo,Bueno,Bueno,35036,Comentario sobre el mantenimiento 12
13,17-02-2024,Emergencia,Malo,Regular,58764,Comentario sobre el mantenimiento 13
14,25-05-2024,Emergencia,Malo,Regular,7822978,Comentario sobre el mantenimiento 14
15,18-10-2023,Emergencia,Bueno,Regular,7126930,Comentario sobre el mantenimiento 15
16,26-09-2024,Correctivo,Malo,Bueno,58422,Comentario sobre el mantenimiento 16
17,12-11-2023,Preventivo,Regular,Regular,4731663,Comentario sobre el mantenimiento 17
18,02-08-2024,Correctivo,Malo,Bueno,20559,Comentario sobre el mantenimiento 18
19,06-08-2024,Preventivo,Regular,Malo,21238,Comentario sobre el mantenimiento 19
20,18-12-2023,Preventivo,Regular,Regular,19725,Comentario sobre el mantenimiento 20
21,25-12-2023,Emergencia,Regular,Regular,4749929,Comentario sobre el mantenimiento 21
22,02-04-2024,Emergencia,Bueno,Regular,25582,Comentario sobre el mantenimiento 22
23,16-06-2024,Preventivo,Regular,Malo,18826,Comentario sobre el mantenimiento 23
24,13-06-2024,Correctivo,Bueno,Regular,20237,Comentario sobre el mantenimiento 24
25,12-07-2024,Correctivo,Regular,Malo,3997060,Comentario sobre el mantenimiento 25
26,20-05-2024,Emergencia,Malo,Malo,5241083,Comentario sobre el mantenimiento 26
27,19-08-2024,Preventivo,Bueno,Bueno,9497226,Comentario sobre el mantenimiento 27
28,03-01-2024,Correctivo,Regular,Bueno,9271148,Comentario sobre el mantenimiento 28
29,08-05-2024,Preventivo,Malo,Bueno,33591,Comentario sobre el mantenimiento 29
30,01-02-2024,Correctivo,Bueno,Malo,33491,Comentario sobre el mantenimiento 30
31,21-10-2023,Correctivo,Regular,Bueno,8888577,Comentario sobre el mantenimiento 31
32,10-09-2024,Correctivo,Malo,Regular,18703,Comentario sobre el mantenimiento 32
33,28-05-2024,Emergencia,Malo,Regular,8928074,Comentario sobre el mantenimiento 33
34,02-03-2024,Correctivo,Malo,Bueno,21749,Comentario sobre el mantenimiento 34
35,23-06-2024,Correctivo,Bueno,Bueno,4737873,Comentario sobre el mantenimiento 35
36,09-07-2024,Correctivo,Regular,Bueno,35182,Comentario sobre el mantenimiento 36
37,02-08-2024,Correctivo,Malo,Malo,8820183,Comentario sobre el mantenimiento 37
38,16-03-2024,Preventivo,Regular,Malo,19562,Comentario sobre el mantenimiento 38
39,16-05-2024,Correctivo,Regular,Malo,32653,Comentario sobre el mantenimiento 39
40,29-10-2023,Preventivo,Malo,Bueno,34142,Comentario sobre el mantenimiento 40
41,19-05-2024,Emergencia,Regular,Bueno,3963370,Comentario sobre el mantenimiento 41
42,05-09-2024,Correctivo,Regular,Bueno,21442,Comentario sobre el mantenimiento 42
43,07-08-2024,Correctivo,Regular,Bueno,6878949,Comentario sobre el mantenimiento 43
44,09-05-2024,Preventivo,Regular,Bueno,59202,Comentario sobre el mantenimiento 44
45,20-05-2024,Preventivo,Malo,Regular,7924749,Comentario sobre el mantenimiento 45
46,28-11-2023,Emergencia,Bueno,Bueno,9289730,Comentario sobre el mantenimiento 46
47,04-09-2024,Emergencia,Regular,Bueno,19866,Comentario sobre el mantenimiento 47
48,23-06-2024,Correctivo,Bueno,Regular,9052567,Comentario sobre el mantenimiento 48
49,31-01-2024,Correctivo,Regular,Malo,3530673,Comentario sobre el mantenimiento 49
50,28-04-2024,Preventivo,Bueno,Malo,59740,Comentario sobre el mantenimiento 50
51,13-01-2024,Correctivo,Bueno,Regular,5241064,Comentario sobre el mantenimiento 51
52,04-01-2024,Emergencia,Bueno,Malo,9157760,Comentario sobre el mantenimiento 52
53,27-04-2024,Emergencia,Regular,Regular,21140,Comentario sobre el mantenimiento 53
54,06-09-2024,Emergencia,Bueno,Bueno,24703,Comentario sobre el mantenimiento 54
55,23-09-2024,Emergencia,Malo,Malo,59353,Comentario sobre el mantenimiento 55
56,09-11-2023,Preventivo,Malo,Malo,6878766,Comentario sobre el mantenimiento 56
57,26-05-2024,Emergencia,Malo,Bueno,4985742,Comentario sobre el mantenimiento 57
58,23-07-2024,Emergencia,Regular,Malo,21681,Comentario sobre el mantenimiento 58
59,18-01-2024,Preventivo,Malo,Regular,21688,Comentario sobre el mantenimiento 59
60,01-08-2024,Correctivo,Malo,Regular,9389678,Comentario sobre el mantenimiento 60
61,08-03-2024,Preventivo,Bueno,Malo,9129831,Comentario sobre el mantenimiento 61
62,11-03-2024,Preventivo,Bueno,Malo,25588,Comentario sobre el mantenimiento 62
63,04-04-2024,Preventivo,Bueno,Bueno,59771,Comentario sobre el mantenimiento 63
64,20-10-2023,Correctivo,Regular,Bueno,25029,Comentario sobre el mantenimiento 64
65,15-05-2024,Correctivo,Malo,Malo,3580731,Comentario sobre el mantenimiento 65
66,27-07-2024,Preventivo,Regular,Malo,4750002,Comentario sobre el mantenimiento 66
67,27-02-2024,Preventivo,Malo,Bueno,21092,Comentario sobre el mantenimiento 67
68,08-01-2024,Emergencia,Bueno,Malo,7872672,Comentario sobre el mantenimiento 68
69,16-11-2023,Emergencia,Bueno,Malo,21339,Comentario sobre el mantenimiento 69
70,28-09-2024,Preventivo,Regular,Bueno,3573457,Comentario sobre el mantenimiento 70
